PeriodId,AuthorshipRec-123,RevOwnRec-124,cHRev-122,LearnRec-126,RetentionRec-125,TurnoverRec-114,WhoDo-130,AuthorshipRec++-108,RevOwnRec++-109,cHRev++-110,LearnRec++-111,RetentionRec++-112,TurnoverRec++-113,WhoDo++-106,FarAwareRec-116,Hoarded2Rec-119,Hoarded3Rec-118,Hoarded4Rec-117
1,0,0,0,0,0,0,0,17.24137931,17.38505747,17.38505747,17.24137931,17.24137931,17.24137931,17.24137931,0.431034483,11.63793103,7.040229885,4.885057471
2,0,0,0,0,0,0,0,16.74584323,16.74584323,16.74584323,16.74584323,16.74584323,16.74584323,16.74584323,1.06888361,10.33254157,6.413301663,4.631828979
3,0,0,0,0,0,0,0,13.17512275,13.17512275,13.17512275,13.25695581,13.17512275,13.17512275,13.17512275,0.736497545,6.955810147,4.255319149,3.355155483
4,0,0,0,0,0,0,0,12.2600349,12.2600349,12.2600349,12.2600349,12.2600349,12.2600349,12.30366492,0.959860384,6.719022688,4.406631763,3.054101222
5,0,0,0,0,0,0,0,10.18766756,10.14298481,10.18766756,10.23235031,10.14298481,10.14298481,10.23235031,0.714924039,5.63002681,3.798033959,3.127792672
6,0,0,0,0,0,0,0,9.74745237,9.703145769,9.703145769,9.703145769,9.703145769,9.703145769,9.74745237,0.886132034,5.139565795,3.234381923,2.436863093
7,0,0,0,0,0,0,0,10.45211473,10.50072922,10.45211473,10.45211473,10.45211473,10.45211473,10.45211473,0.777831794,5.882352941,3.646086534,2.771025766
8,0,0,0,0,0,0,0,12.22161869,12.22161869,12.22161869,12.22161869,12.22161869,12.22161869,12.22161869,1.846822379,6.355241716,4.182509506,3.422053232
9,0,0,0,0,0,0,0,11.59874608,11.59874608,11.59874608,11.59874608,11.59874608,11.59874608,11.59874608,0.895656068,6.135244066,3.716972682,2.866099418
10,0,0,0,0,0,0,0,13.19111885,13.2346539,13.2346539,13.19111885,13.19111885,13.19111885,13.19111885,0.60949064,7.879843274,4.919460165,3.918154114
11,0,0,0,0,0,0,0,16.51972158,16.51972158,16.51972158,16.51972158,16.51972158,16.51972158,16.612529,1.484918794,9.373549884,6.86774942,5.011600928
12,0,0,0,0,0,0,0,13.47175278,13.42346692,13.42346692,13.52003863,13.42346692,13.47175278,13.56832448,1.303718011,7.242877837,5.214872042,4.104297441
13,0,0,0,0,0,0,0,13.88518024,13.92968402,13.88518024,13.88518024,13.88518024,13.88518024,13.97418781,1.557632399,8.099688474,5.82999555,4.405874499
14,0,0,0,0,0,0,0,12.89461983,12.89461983,12.89461983,12.98354824,12.89461983,12.89461983,12.89461983,1.467318808,6.803023566,4.935526901,3.423743886
15,0,0,0,0,0,0,0,9.610104338,9.610104338,9.66501922,9.829763866,9.610104338,9.610104338,9.93959363,1.043382757,4.887424492,3.459637562,2.635914333
16,0,0,0,0,0,0,0,10.23535851,10.23535851,10.23535851,10.29009305,10.23535851,10.23535851,10.23535851,1.204159825,5.199781062,3.119868637,2.079912425
17,0,0,0,0,0,0,0,9.270704574,9.208899876,9.208899876,9.332509271,9.208899876,9.208899876,9.332509271,0.927070457,6.242274413,3.955500618,2.966625464
18,0,0,0,0,0,0,0,11.91432396,11.84738956,11.84738956,12.04819277,11.84738956,11.84738956,11.91432396,1.338688086,7.228915663,5.287817938,4.551539491
19,0,0,0,0,0,0,0,10.45706371,10.31855956,10.38781163,10.38781163,10.31855956,10.31855956,10.66481994,1.800554017,5.747922438,3.462603878,2.631578947
20,0,0,0,0,0,0,0,9.726103969,9.782001118,9.782001118,9.726103969,9.670206819,9.670206819,9.949692566,1.117942985,4.974846283,3.297931805,2.683063164
21,0,0,0,0,0,0,0,14.63414634,14.63414634,14.63414634,14.63414634,14.63414634,14.63414634,14.63414634,0,8.536585366,6.097560976,4.87804878
ReviewerPlusPlus_Lifetime,0,0,0,0,0,0,0,12.01185685,12.00641793,12.00913739,12.04177091,11.99010116,11.99282062,12.07168498,1.120417709,6.700750571,4.451756771,3.383008811