PeriodId,AuthorshipRec-127,RevOwnRec-124,cHRev-120,LearnRec-123,RetentionRec-122,TurnoverRec-112,WhoDo-121,AuthorshipRec++-107,RevOwnRec++-106,cHRev++-105,LearnRec++-104,RetentionRec++-103,TurnoverRec++-109,WhoDo++-101,FarAwareRec-113,Hoarded2Rec-115,Hoarded3Rec-116,Hoarded4Rec-117
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,3.75,3.75,3.75,3.75,3.75,3.75,3.75,0,1.25,0,0
11,0,0,0,0,0,0,0,5.988023952,5.988023952,5.988023952,5.988023952,5.988023952,5.988023952,5.988023952,1.19760479,2.994011976,2.395209581,1.19760479
12,0,0,0,0,0,0,0,3.082191781,3.082191781,3.082191781,3.082191781,3.082191781,3.082191781,3.082191781,0.684931507,2.397260274,1.712328767,1.369863014
13,0,0,0,0,0,0,0,3.286384977,3.286384977,3.286384977,3.286384977,3.286384977,3.286384977,3.286384977,0.938967136,2.34741784,0.938967136,0.938967136
14,0,0,0,0,0,0,0,10.19230769,10.19230769,10.19230769,10.19230769,10.19230769,10.19230769,10.19230769,2.692307692,5.769230769,3.461538462,2.115384615
15,0,0,0,0,0,0,0,10.19202363,10.19202363,10.19202363,10.19202363,10.19202363,10.19202363,10.19202363,0.886262925,5.317577548,3.101920236,2.363367799
16,0,0,0,0,0,0,0,11.39240506,11.39240506,11.39240506,11.39240506,11.39240506,11.39240506,11.39240506,1.582278481,5.063291139,2.373417722,1.740506329
17,0,0,0,0,0,0,0,10.81481481,10.81481481,10.81481481,10.81481481,10.81481481,10.81481481,10.81481481,1.185185185,5.481481481,2.814814815,2.37037037
18,0,0,0,0,0,0,0,11.61676647,11.61676647,11.61676647,11.61676647,11.61676647,11.61676647,11.61676647,1.676646707,6.467065868,4.071856287,3.233532934
19,0,0,0,0,0,0,0,18.24981301,18.1750187,18.24981301,18.1750187,18.24981301,18.1750187,18.1750187,1.795063575,8.676140613,5.011219147,3.739715782
20,0,0,0,0,0,0,0,16.8374817,16.8374817,16.8374817,16.8374817,16.8374817,16.8374817,16.8374817,1.610541728,7.467057101,4.612005857,3.221083455
21,0,0,0,0,0,0,0,16.37254902,16.56862745,16.37254902,16.37254902,16.37254902,16.37254902,16.37254902,1.274509804,5.68627451,3.235294118,1.37254902
22,0,0,0,0,0,0,0,18.33688699,18.4434968,18.4434968,18.4434968,18.33688699,18.33688699,18.4434968,0.852878465,6.289978678,3.198294243,1.70575693
23,0,0,0,0,0,0,0,18.07228916,18.07228916,18.07228916,18.18181818,18.07228916,18.07228916,18.18181818,1.204819277,7.776560789,4.490690033,3.504928806
24,0,0,0,0,0,0,0,21.98660714,21.98660714,21.98660714,21.98660714,21.98660714,21.98660714,22.09821429,1.116071429,8.370535714,5.133928571,3.571428571
25,0,0,0,0,0,0,0,18.43220339,18.6440678,18.43220339,18.53813559,18.43220339,18.43220339,18.6440678,0.211864407,7.415254237,4.872881356,3.601694915
26,0,0,0,0,0,0,0,22.81284607,23.03433001,22.81284607,22.81284607,22.81284607,22.81284607,23.03433001,1.550387597,10.52048726,6.201550388,4.208194906
27,0,0,0,0,0,0,0,20.17837235,20.51282051,20.17837235,20.51282051,20.17837235,20.17837235,20.17837235,0.891861761,9.698996656,5.128205128,3.901895206
28,0,0,0,0,0,0,0,21.6330859,21.73913043,21.6330859,21.73913043,21.6330859,21.73913043,21.84517497,2.43902439,10.07423118,4.13573701,2.545068929
29,0,0,0,0,0,0,0,24.47980416,24.35740514,24.35740514,24.47980416,24.35740514,24.35740514,24.35740514,2.080783354,12.85189718,6.487148103,5.507955936
30,0,0,0,0,0,0,0,22.23404255,22.23404255,22.23404255,22.34042553,22.23404255,22.23404255,22.23404255,2.021276596,12.55319149,5.85106383,3.936170213
31,0,0,0,0,0,0,0,29.55555556,29.55555556,29.55555556,29.55555556,29.55555556,29.55555556,29.66666667,2.333333333,15.88888889,7.222222222,5.444444444
32,0,0,0,0,0,0,0,25.57726465,25.6660746,25.6660746,25.75488455,25.57726465,25.57726465,25.6660746,1.865008881,15.09769094,7.726465364,5.41740675
33,0,0,0,0,0,0,0,29.79482605,29.79482605,29.79482605,29.79482605,29.79482605,29.79482605,29.79482605,2.943800178,18.19803747,11.41837645,7.760927743
34,0,0,0,0,0,0,0,33.13896987,33.13896987,33.13896987,33.13896987,33.13896987,33.13896987,33.33333333,3.498542274,22.83770651,13.70262391,11.17589893
35,0,0,0,0,0,0,0,25.40540541,25.40540541,25.40540541,25.4954955,25.40540541,25.40540541,25.4954955,3.063063063,17.38738739,11.53153153,9.009009009
36,0,0,0,0,0,0,0,25.30647986,25.39404553,25.30647986,25.48161121,25.30647986,25.30647986,25.39404553,1.576182137,17.51313485,9.894921191,7.092819615
37,0,0,0,0,0,0,0,23.47266881,23.79421222,23.79421222,23.79421222,23.1511254,23.1511254,23.47266881,2.572347267,15.11254019,7.717041801,6.109324759
ReviewerPlusPlus_Lifetime,0,0,0,0,0,0,0,20.05998435,20.11214466,20.06867774,20.11649135,20.05129097,20.05129097,20.11649135,1.738676867,10.64939581,5.994088499,4.355385552