CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
6.0,2.0,1.0,1.0,1
1.0,1.0,1.0,36.0,1
3.0,1.0,1.0,2.0,5
1.0,1.0,1.0,19.0,27
9.0,4.0,1.0,2.0,38
2.0,1.0,1.0,8.0,1
1.0,1.0,2.0,2.0,2
636.0,1.0,1.0,4.0,4
12.0,1.0,1.0,2.0,18
19.0,1.0,1.0,2.0,2
1.0,1.0,1.0,3.0,1
1.0,4.0,1.0,4.0,3
1.0,1.0,32.0,5.0,1
1.0,16.0,65.0,1.0,10
2.0,11.0,1.0,1.0,2
1.0,1.0,104.0,1.0,1
1.0,17.0,8.0,1.0,1
1.0,26.0,2.0,1.0,1
2.0,1.0,2.0,2.0,64
1.0,1.0,115.0,35.0,3
1.0,2.0,1.0,1.0,21
1.0,18.0,2.0,1.0,1
1.0,2.0,3.0,10.0,2
1.0,4.0,93.0,6.0,28
1.0,2.0,4.0,42.0,1
1.0,15.0,1.0,94.0,6
2.0,69.0,150.0,1.0,130
1.0,152.0,1.0,7.0,15
51.0,95.0,12.0,10.0,1
160.0,8.0,1.0,6.0,3
1.0,1.0,20.0,1.0,1
12.0,12.0,56.0,1.0,3
2.0,45.0,1.0,10.0,10
7.0,2.0,54.0,4.0,58
2.0,3.0,9.0,12.0,1
16.0,5.0,118.0,36.0,10
1.0,3.0,165.0,2.0,35
3.0,7.0,70.0,246.0,387
1.0,1.0,7.0,2.0,4
1.0,1.0,137.0,14.0,5
1.0,6.0,1.0,1.0,1
1.0,4.0,1.0,1.0,6
1.0,1.0,41.0,1.0,21
5.0,1.0,1.0,2.0,20
1.0,53.0,57.0,9.0,1
2.0,3.0,5.0,1.0,11
35.0,5.0,4.0,2.0,23
1.0,1.0,1.0,9.0,6
2.0,1.0,1.0,1.0,2
15.0,16.0,1.0,21.0,1
7.0,6.0,3.0,1.0,25
116.0,2.0,65.0,332.0,1
5.0,236.0,5.0,1.0,28
1.0,117.0,7.0,1.0,26
25.0,2.0,7.0,1.0,1
13.0,14.0,1.0,1.0,1
1.0,5.0,1.0,1.0,5
2.0,1.0,1.0,1.0,2
3.0,5.0,2.0,17.0,1
69.0,18.0,141.0,1.0,57
78.0,1.0,1.0,24.0,1
1.0,15.0,33.0,8.0,1
1.0,1.0,18.0,17.0,59
2.0,4.0,1.0,60.0,1
26.0,1.0,4.0,1.0,5
4.0,9.0,20.0,2.0,1
32.0,1.0,28.0,1.0,42
1.0,3.0,1.0,1.0,35
5.0,2.0,1.0,1.0,3
25.0,1.0,1.0,50.0,19
4.0,27.0,1.0,1.0,51
32.0,4.0,3.0,1.0,4
1.0,5.0,1.0,20.0,1
1.0,1.0,1.0,7.0,4
7.0,6.0,1.0,74.0,50
61.0,3.0,1.0,4.0,9
3.0,14.0,1.0,7.0,12
2.0,7.0,1.0,16.0,36
31.0,1.0,1.0,1.0,5
24.0,6.0,1.0,3.0,2
1.0,6.0,1.0,8.0,15
2.0,109.0,1.0,5.0,3
44.0,3.0,82.0,1.0,1
44.0,1.0,1.0,2.0,2
3.0,3.0,112.0,1.0,2
1.0,5.0,1.0,4.0,63
23.0,3.0,4.0,46.0,3
37.0,1.0,1.0,1.0,1
3.0,42.0,65.0,1.0,1
11.0,4.0,1.0,15.0,111
7.0,7.0,27.0,3.0,35
8.0,8.0,3.0,1.0,1
12.0,2.0,110.0,53.0,5
1.0,4.0,3.0,74.0,1
18.0,5.0,184.0,5.0,57
1.0,42.0,3.0,5.0,1
2.0,14.0,17.0,1.0,12
1.0,3.0,1.0,2.0,93
4.0,2.0,303.0,8.0,4
16.0,13.0,34.0,1.0,1
1.0,1.0,143.0,3.0,1
3.0,1.0,1.0,1.0,1
1.0,1.0,67.0,5.0,7
2.0,1.0,16.0,13.0,1
7.0,1.0,147.0,41.0,1
1.0,1.0,179.0,1.0,1
1.0,1.0,42.0,194.0,1
3.0,1.0,1.0,1.0,1
1.0,3.0,15.0,15.0,34
3.0,1.0,166.0,3.0,1
1.0,4.0,1.0,1.0,22
14.0,2.0,1.0,1.0,89
1.0,10.0,24.0,1.0,147
1.0,1.0,1.0,1.0,11
2.0,1.0,2.0,12.0,67
1.0,1.0,1.0,1.0,1
1.0,3.0,115.0,1.0,52
1.0,25.0,8.0,1.0,6
16.0,27.0,53.0,2.0,4
29.0,3.0,5.0,1.0,4
1.0,13.0,4.0,1.0,1
8.0,14.0,9.0,1.0,5
1.0,3.0,4.0,7.0,6
5.0,2.0,3.0,1.0,1
1.0,1.0,1.0,12.0,38
570.0,32.0,164.0,1.0,4
10.0,1.0,1.0,2.0,17
3.0,10.0,65.0,1.0,1
46.0,21.0,41.0,2.0,1
1.0,68.0,21.0,1.0,30
1.0,179.0,31.0,343.0,5
1.0,113.0,8.0,1.0,1
1.0,3.0,1.0,1.0,1
4.0,3.0,1.0,38.0,1
1.0,1.0,1.0,1.0,6
2.0,1.0,1.0,4.0,8
1.0,16.0,2.0,19.0,1
1.0,20.0,1.0,2.0,68
1.0,17.0,1.0,1.0,2
1.0,1.0,1.0,2.0,1
1.0,1.0,1.0,12.0,9
2.0,6.0,13.0,52.0,54
1.0,2.0,3.0,3.0,1
1.0,8.0,32.0,23.0,3
1.0,2.0,2.0,1.0,1
1.0,1.0,1.0,2.0,60
1.0,1.0,1.0,1.0,1
1.0,1.0,28.0,1.0,1
10.0,4.0,1.0,93.0,1
1.0,6.0,7.0,4.0,2
1.0,9.0,2.0,1.0,1
2.0,14.0,80.0,1.0,6
56.0,6.0,2.0,5.0,130
200.0,1.0,1.0,1.0,182
2.0,1.0,1.0,106.0,4
4.0,1.0,112.0,1.0,1
6.0,2.0,1.0,1.0,10
2.0,171.0,63.0,8.0,2
6.0,69.0,178.0,1.0,2
3.0,28.0,7.0,24.0,60
5.0,9.0,90.0,2.0,4
6.0,1.0,2.0,6.0,10
4.0,1.0,48.0,157.0,66
1.0,15.0,16.0,3.0,80
1.0,2.0,115.0,1.0,70
3.0,26.0,105.0,1.0,1
1.0,8.0,27.0,1.0,1
3.0,1.0,1.0,4.0,1
1.0,7.0,5.0,2.0,1
1.0,3.0,7.0,1.0,38
7.0,1.0,117.0,1.0,1
1.0,1.0,2.0,18.0,1
10.0,13.0,1.0,8.0,2
17.0,14.0,10.0,1.0,5
41.0,1.0,3.0,14.0,22
2.0,3.0,1.0,1.0,23
362.0,20.0,47.0,2.0,46
5.0,15.0,6.0,55.0,35
96.0,1.0,1.0,1.0,1
1.0,4.0,23.0,72.0,7
9.0,1.0,1.0,11.0,7
5.0,5.0,4.0,1.0,2
1.0,68.0,4.0,2.0,1
5.0,1.0,93.0,3.0,19
8.0,1.0,1.0,8.0,2
45.0,2.0,24.0,3.0,21
87.0,2.0,2.0,1.0,1
1.0,1.0,1.0,1.0,1
18.0,1.0,20.0,8.0,1
16.0,22.0,1.0,3.0,3
1.0,3.0,3.0,37.0,16
11.0,2.0,1.0,1.0,1
44.0,16.0,23.0,1.0,6
52.0,11.0,4.0,1.0,1
4.0,6.0,1.0,202.0,4
43.0,1.0,1.0,1.0,45
11.0,53.0,1.0,19.0,9
1.0,12.0,1.0,4.0,76
1.0,2.0,1.0,1.0,24
70.0,2.0,2.0,9.0,1
39.0,22.0,1.0,1.0,4
1.0,1.0,1.0,1.0,12
1.0,2.0,1.0,1.0,7
29.0,1.0,1.0,11.0,1
3.0,1.0,1.0,1.0,1
70.0,1.0,1.0,1.0,1
1.0,1.0,6.0,2.0,5
2.0,1.0,2.0,1.0,3
1.0,1.0,48.0,3.0,4
17.0,1.0,11.0,11.0,1
13.0,1.0,2.0,2.0,43
43.0,1.0,2.0,1.0,1
9.0,1.0,3.0,1.0,17
26.0,3.0,1.0,1.0,22
5.0,1.0,37.0,1.0,92
37.0,2.0,1.0,11.0,3
5.0,1.0,70.0,1.0,1
1.0,31.0,1.0,1.0,18
8.0,25.0,1.0,1.0,18
2.0,1.0,5.0,1.0,1
17.0,12.0,168.0,362.0,21
2.0,8.0,3.0,1.0,1
1.0,1.0,15.0,3.0,11
1.0,29.0,161.0,2.0,18
28.0,1.0,9.0,2.0,2
5.0,8.0,67.0,7.0,2
1.0,14.0,30.0,1.0,14
1.0,75.0,47.0,23.0,40
9.0,146.0,8.0,3.0,5
1.0,112.0,153.0,1.0,1
1.0,3.0,124.0,40.0,8
2.0,19.0,34.0,79.0,2
2.0,1.0,1.0,1.0,4
1.0,6.0,23.0,1.0,5
2.0,1.0,1.0,2.0,51
1.0,7.0,11.0,67.0,71
1.0,1.0,94.0,1.0,1
6.0,12.0,1.0,1.0,2
5.0,8.0,17.0,111.0,15
120.0,6.0,55.0,2.0,3
32.0,1.0,9.0,2.0,1
13.0,8.0,1.0,2.0,1
49.0,4.0,31.0,11.0,68
1.0,1.0,6.0,3.0,1
1.0,4.0,3.0,62.0,1
845.0,1.0,2.0,1.0,52
11.0,4.0,7.0,3.0,6
1.0,1.0,2.0,1.0,32
27.0,1.0,114.0,1.0,37
11.0,159.0,1.0,43.0,4
4.0,37.0,3.0,1.0,6
2.0,3.0,32.0,2.0,1
1.0,37.0,1.0,1.0,1
7.0,3.0,3.0,2.0,2
11.0,6.0,1.0,17.0,44
1.0,11.0,20.0,1.0,4
1.0,4.0,7.0,14.0,2
5.0,5.0,2.0,3.0,18
1.0,7.0,1.0,2.0,4
4.0,11.0,2.0,5.0,2
1.0,6.0,1.0,1.0,43
1.0,7.0,1.0,1.0,2
10.0,1.0,2.0,4.0,1
40.0,1.0,4.0,1.0,8
10.0,1.0,1.0,9.0,3
21.0,5.0,1.0,2.0,1
1.0,2.0,1.0,3.0,1
202.0,1.0,1.0,1.0,1
4.0,3.0,1.0,19.0,1
3.0,10.0,58.0,2.0,3
6.0,1.0,4.0,60.0,53
2.0,19.0,7.0,79.0,4
4.0,9.0,5.0,11.0,6
1.0,2.0,3.0,8.0,2
2.0,8.0,13.0,3.0,86
2.0,1.0,30.0,1.0,28
1.0,1.0,3.0,5.0,1
3.0,2.0,113.0,2.0,20
5.0,1.0,1.0,1.0,1
1.0,7.0,1.0,1.0,38
2.0,15.0,11.0,9.0,6
1.0,1.0,169.0,6.0,1
2.0,1.0,3.0,1.0,1
12.0,5.0,2.0,5.0,2
22.0,17.0,31.0,29.0,3
183.0,8.0,437.0,1.0,47
1.0,1.0,1.0,1.0,10
61.0,44.0,1.0,90.0,95
16.0,12.0,77.0,3.0,1
11.0,2.0,58.0,27.0,3
1.0,1.0,46.0,1.0,1
2.0,6.0,19.0,1.0,1
1.0,8.0,225.0,3.0,1
3.0,1.0,160.0,1.0,2
54.0,1.0,20.0,8.0,1
35.0,1.0,1.0,1.0,1
1.0,1.0,59.0,1.0,1
1.0,1.0,10.0,1.0,1
5.0,1.0,128.0,1.0,5
34.0,1.0,1.0,1.0,1
5.0,1.0,1.0,1.0,2
15.0,7.0,9.0,1.0,1
1.0,6.0,1.0,26.0,3
30.0,4.0,85.0,3.0,1
1.0,3.0,1.0,1.0,1
4.0,4.0,1.0,39.0,2
26.0,40.0,8.0,2.0,1
5.0,8.0,1.0,1.0,1
1.0,8.0,34.0,375.0,1
2.0,10.0,7.0,2.0,1
37.0,6.0,8.0,5.0,1
27.0,29.0,3.0,1.0,1
1.0,1.0,43.0,14.0,1
1.0,41.0,2.0,5.0,26
30.0,4.0,148.0,33.0,1
1.0,4.0,2.0,3.0,2
48.0,19.0,3.0,2.0,2
1.0,11.0,15.0,4.0,27
16.0,47.0,3.0,16.0,93
13.0,121.0,3.0,1.0,252
11.0,137.0,1.0,93.0,25
2.0,3.0,45.0,1.0,65
7.0,1.0,8.0,1.0,25
21.0,51.0,1.0,1.0,2
1.0,3.0,2.0,2.0,5
8.0,3.0,1.0,3.0,2
3.0,5.0,1.0,1.0,1
1.0,1.0,1.0,81.0,1
8.0,3.0,1.0,1.0,1
1.0,3.0,1.0,80.0,7
1.0,7.0,1.0,13.0,22
3.0,11.0,1.0,9.0,1
7.0,5.0,2.0,12.0,26
6.0,43.0,1.0,86.0,1
2.0,2.0,2.0,1.0,2
7.0,13.0,1.0,1.0,4
17.0,11.0,1.0,1.0,40
1.0,1.0,41.0,62.0,14
2.0,300.0,4.0,1.0,4
2.0,48.0,4.0,10.0,4
1.0,26.0,2.0,5.0,2
2.0,1.0,13.0,2.0,1
46.0,13.0,24.0,9.0,1
6.0,1.0,62.0,1.0,1
5.0,19.0,1.0,3.0,6
24.0,3.0,1.0,5.0,5
1.0,4.0,27.0,1.0,1
424.0,8.0,88.0,2.0,1
4.0,1.0,2.0,3.0,2
30.0,9.0,1.0,1.0,39
6.0,7.0,27.0,3.0,2
1.0,5.0,1.0,1.0,6
2.0,3.0,195.0,1.0,84
1.0,1.0,1.0,7.0,1
1.0,14.0,1.0,1.0,3
8.0,3.0,66.0,1.0,1
1.0,8.0,30.0,1.0,70
8.0,8.0,40.0,34.0,2
1.0,6.0,10.0,1.0,5
1.0,23.0,1.0,84.0,1
1.0,7.0,58.0,1.0,9
10.0,26.0,103.0,13.0,146
1.0,1.0,22.0,13.0,1
4.0,1.0,47.0,1.0,2
2.0,1.0,2.0,1.0,186
1.0,24.0,55.0,5.0,7
17.0,6.0,1.0,5.0,1
44.0,3.0,2.0,2.0,9
105.0,4.0,31.0,1.0,1
1.0,26.0,9.0,3.0,1
1.0,7.0,35.0,1.0,91
12.0,76.0,1.0,8.0,8
15.0,25.0,3.0,1.0,1
2.0,5.0,2.0,2.0,7
2.0,2.0,32.0,2.0,60
3.0,48.0,70.0,4.0,87
3.0,19.0,5.0,1.0,76
1.0,1.0,2.0,2.0,2
1.0,1.0,2.0,7.0,1
3.0,1.0,1.0,1.0,1
1.0,1.0,2.0,32.0,2
12.0,1.0,4.0,2.0,1
1.0,1.0,34.0,115.0,1
2.0,2.0,2.0,22.0,124
1.0,1.0,1.0,5.0,1
3.0,4.0,1.0,3.0,1
1.0,1.0,1.0,1.0,18
5.0,1.0,1.0,7.0,20
3.0,13.0,1.0,1.0,19
140.0,14.0,1.0,1.0,31
3.0,5.0,,1.0,35
26.0,1.0,,1.0,3
9.0,38.0,,14.0,2
2.0,14.0,,1.0,25
4.0,5.0,,1.0,7
1.0,8.0,,1.0,2
23.0,3.0,,1.0,5
1.0,6.0,,1.0,1
7.0,10.0,,1.0,2
4.0,1.0,,1.0,1
2.0,1.0,,1.0,2
2.0,22.0,,35.0,8
1.0,1.0,,4.0,2
3.0,3.0,,1.0,1
1.0,7.0,,1.0,3
58.0,5.0,,1.0,12
3.0,56.0,,26.0,3
3.0,111.0,,1.0,8
2.0,84.0,,1.0,8
23.0,23.0,,7.0,50
12.0,2.0,,328.0,2
1.0,2.0,,2.0,66
17.0,3.0,,2.0,28
5.0,2.0,,17.0,5
24.0,1.0,,1.0,1
1.0,13.0,,1.0,7
15.0,20.0,,54.0,47
1.0,12.0,,1.0,1
17.0,9.0,,2.0,1
2.0,13.0,,4.0,2
7.0,3.0,,1.0,12
1.0,1.0,,24.0,1
2.0,215.0,,5.0,11
23.0,44.0,,1.0,2
6.0,2.0,,2.0,1
17.0,41.0,,1.0,49
7.0,1.0,,2.0,1
1.0,1.0,,78.0,3
2.0,6.0,,1.0,19
1.0,4.0,,1.0,31
2.0,3.0,,1.0,34
8.0,1.0,,85.0,1
6.0,18.0,,1.0,2
5.0,3.0,,6.0,2
2.0,7.0,,15.0,2
4.0,2.0,,1.0,16
5.0,7.0,,5.0,90
5.0,12.0,,1.0,51
2.0,1.0,,79.0,1
2.0,1.0,,1.0,2
1.0,2.0,,1.0,2
17.0,4.0,,21.0,30
1.0,4.0,,1.0,22
1.0,22.0,,1.0,4
1.0,11.0,,1.0,1
41.0,18.0,,8.0,14
10.0,17.0,,4.0,68
1.0,7.0,,1.0,4
17.0,1.0,,1.0,1
1.0,28.0,,6.0,1
260.0,2.0,,6.0,10
3.0,10.0,,1.0,6
13.0,50.0,,2.0,4
1.0,19.0,,1.0,1
2.0,2.0,,21.0,9
4.0,12.0,,1.0,12
5.0,18.0,,1.0,10
1.0,2.0,,1.0,44
1.0,2.0,,1.0,1
2.0,1.0,,1.0,73
1.0,7.0,,3.0,1
5.0,6.0,,76.0,11
1.0,1.0,,1.0,1
1.0,1.0,,1.0,7
1.0,1.0,,1.0,4
1.0,19.0,,1.0,3
3.0,52.0,,1.0,1
1.0,3.0,,1.0,59
13.0,8.0,,10.0,1
2.0,1.0,,1.0,24
1.0,4.0,,13.0,1
1.0,6.0,,116.0,24
1.0,7.0,,1.0,20
4.0,1.0,,15.0,1
12.0,1.0,,24.0,32
24.0,4.0,,1.0,7
85.0,44.0,,7.0,3
1.0,4.0,,1.0,1
12.0,1.0,,1.0,1
74.0,1.0,,6.0,19
1.0,3.0,,1.0,1
2.0,5.0,,2.0,1
1.0,54.0,,19.0,1
2.0,145.0,,1.0,17
2.0,102.0,,3.0,4
2.0,3.0,,1.0,9
7.0,2.0,,1.0,53
2.0,16.0,,1.0,1
20.0,2.0,,6.0,1
1.0,1.0,,2.0,1
1.0,5.0,,30.0,2
20.0,5.0,,4.0,2
2.0,10.0,,81.0,1
4.0,19.0,,1.0,1
1.0,2.0,,33.0,2
1.0,14.0,,4.0,33
1.0,1.0,,4.0,3
2.0,21.0,,10.0,2
8.0,1.0,,1.0,11
13.0,3.0,,1.0,106
217.0,2.0,,1.0,31
2.0,1.0,,1.0,1
25.0,9.0,,1.0,1
1.0,3.0,,3.0,1
86.0,218.0,,2.0,40
12.0,27.0,,1.0,1
1.0,55.0,,1.0,1
2.0,4.0,,1.0,1
25.0,3.0,,1.0,4
24.0,3.0,,4.0,1
1.0,7.0,,2.0,5
4.0,1.0,,33.0,1
55.0,3.0,,2.0,1
1.0,1.0,,1.0,32
3.0,7.0,,1.0,15
6.0,2.0,,1.0,110
9.0,1.0,,1.0,4
1.0,15.0,,24.0,1
1.0,6.0,,1.0,1
1.0,5.0,,13.0,1
1.0,2.0,,330.0,4
80.0,3.0,,1.0,1
6.0,21.0,,13.0,1
1.0,4.0,,1.0,1
1.0,2.0,,1.0,1
3.0,1.0,,79.0,1
2.0,1.0,,1.0,1
23.0,18.0,,1.0,1
30.0,2.0,,7.0,1
22.0,1.0,,5.0,2
32.0,20.0,,1.0,1
43.0,8.0,,2.0,1
10.0,6.0,,1.0,2
42.0,20.0,,4.0,2
23.0,2.0,,3.0,1
2.0,14.0,,36.0,1
3.0,21.0,,1.0,1
2.0,7.0,,18.0,1
22.0,1.0,,1.0,1
10.0,34.0,,76.0,38
13.0,8.0,,3.0,1
1.0,3.0,,21.0,1
1.0,2.0,,1.0,1
13.0,1.0,,8.0,2
2.0,1.0,,1.0,1
1.0,2.0,,1.0,1
1.0,2.0,,1.0,31
1.0,1.0,,64.0,1
1.0,1.0,,1.0,105
7.0,11.0,,1.0,361
9.0,8.0,,20.0,21
14.0,5.0,,1.0,85
6.0,1.0,,1.0,17
19.0,15.0,,1.0,1
1.0,3.0,,4.0,3
2.0,1.0,,2.0,1
3.0,62.0,,74.0,2
2.0,1.0,,1.0,4
2.0,3.0,,4.0,3
5.0,2.0,,1.0,31
9.0,1.0,,1.0,3
10.0,15.0,,2.0,18
1.0,1.0,,1.0,1
1.0,2.0,,83.0,1
47.0,1.0,,1.0,27
29.0,41.0,,1.0,11
2.0,1.0,,3.0,1
1.0,2.0,,1.0,15
1.0,1.0,,31.0,4
466.0,10.0,,1.0,1
6.0,13.0,,2.0,6
1.0,8.0,,18.0,2
8.0,47.0,,123.0,1
36.0,132.0,,21.0,3
4.0,95.0,,22.0,33
14.0,1.0,,1.0,8
4.0,2.0,,4.0,4
1.0,19.0,,1.0,36
1.0,5.0,,5.0,1
14.0,1.0,,1.0,3
1.0,3.0,,1.0,1
4.0,11.0,,46.0,1
1.0,2.0,,2.0,4
3.0,9.0,,2.0,56
3.0,21.0,,1.0,3
1.0,15.0,,1.0,4
1.0,1.0,,1.0,1
1.0,10.0,,7.0,4
2.0,1.0,,1.0,1
1.0,24.0,,1.0,8
3.0,2.0,,5.0,1
1.0,2.0,,2.0,1
1.0,2.0,,11.0,9
1.0,8.0,,3.0,161
39.0,1.0,,1.0,1
1.0,1.0,,47.0,1
2.0,2.0,,34.0,82
1.0,1.0,,1.0,3
1.0,287.0,,2.0,1
6.0,52.0,,1.0,4
1.0,2.0,,2.0,3
1.0,41.0,,1.0,1
17.0,1.0,,1.0,5
18.0,3.0,,4.0,119
121.0,6.0,,1.0,4
4.0,5.0,,1.0,4
15.0,2.0,,1.0,43
1.0,1.0,,8.0,41
1.0,3.0,,1.0,55
1.0,2.0,,1.0,2
38.0,14.0,,1.0,10
2.0,4.0,,1.0,1
3.0,4.0,,1.0,1
1.0,4.0,,1.0,1
1.0,7.0,,1.0,103
1.0,1.0,,1.0,1
1.0,4.0,,1.0,5
5.0,5.0,,31.0,15
1.0,1.0,,1.0,26
8.0,8.0,,1.0,13
1.0,2.0,,1.0,19
4.0,11.0,,4.0,26
2.0,26.0,,7.0,12
1.0,14.0,,1.0,1
4.0,5.0,,4.0,1
1.0,1.0,,1.0,4
150.0,1.0,,342.0,1
3.0,14.0,,1.0,1
85.0,8.0,,1.0,3
1.0,1.0,,11.0,9
2.0,2.0,,102.0,7
3.0,14.0,,5.0,1
1.0,4.0,,3.0,7
17.0,10.0,,2.0,1
15.0,33.0,,12.0,25
1.0,2.0,,1.0,1
3.0,68.0,,15.0,1
18.0,1.0,,1.0,1
1.0,8.0,,3.0,3
4.0,2.0,,1.0,4
2.0,1.0,,2.0,51
1.0,36.0,,31.0,3
7.0,21.0,,1.0,1
1.0,2.0,,1.0,74
1.0,3.0,,33.0,7
69.0,4.0,,52.0,4
18.0,1.0,,7.0,1
1.0,1.0,,62.0,4
4.0,1.0,,11.0,8
39.0,1.0,,1.0,18
20.0,2.0,,2.0,1
1.0,2.0,,30.0,1
1.0,1.0,,1.0,11
19.0,1.0,,3.0,38
21.0,1.0,,9.0,1
1.0,1.0,,2.0,5
27.0,1.0,,2.0,1
25.0,1.0,,4.0,114
2.0,1.0,,1.0,1
6.0,2.0,,1.0,28
23.0,1.0,,2.0,24
1.0,1.0,,7.0,62
9.0,6.0,,1.0,38
1.0,13.0,,1.0,1
1.0,1.0,,129.0,3
1.0,6.0,,3.0,1
2.0,1.0,,1.0,5
2.0,1.0,,1.0,19
3.0,56.0,,4.0,1
6.0,2.0,,1.0,68
